song,level,lyrics
Devil In Her Heart,4,"She's got the devil in her heart<br>But her eyes they tantalize<br>She's gonna tear your heart apart<br>Oh her lips they really thrill me<br><br>I'll take my chances<br>For romance is<br>So important to me<br>She'll never hurt me<br>She won't desert me<br>She's an angel sent to me<br><br>She's got the devil in her heart<br>No, no, this I can't believe<br>She's gonna tear your heart apart<br>No, no nay will she deceive<br><br>I can't believe that she'll ever ever go<br>Not when she hugs and says she loves me so<br>She'll never hurt me<br>She won't desert me<br>Listen can't you see<br><br>She's got the devil in her heart<br>Oh, no, no, no, this I can't believe<br>She's gonna tear your heart apart<br>No no nay will she deceive<br><br>Don't take chances if your romance is<br>So important to you<br>She'll never hurt me<br>She won't desert me<br>She's an angel sent to me<br><br>She's got the devil in her heart<br>Oh, no, no, no, no this I can't believe<br>She's gonna tear your heart apart<br>No, no nay will she deceive<br><br>She's got the devil in her heart<br>No she's an angel sent to me<br>She's got the devil in her heart<br>No she's an angel sent to me"
Dig A Pony,4,"I dig a pony<br>Well you can celebrate anything you want<br>Well you can celebrate anything you want<br><br>I do a road hog<br>Well you can penetrate any place you go<br>Yes you can penetrate any place you go<br>I told you so, all I want is you<br>Everything has got to be just like you want it to<br>Because...<br><br>I pick a moon dog<br>Well you can radiate everything you are<br>Yes you can radiate everything you are<br><br>Oh now<br>I roll a stoney<br>Well you can imitate everyone you know<br>Yes you can imitate everyone you know<br>I told you so, all I want is you<br>Everything has got to be just like you want it to<br>Because...<br><br>Ooh now<br>I feel the wind blow<br>Well you can indicate everything you see<br>Yes you can indicate everything you see<br><br>Oh now<br>I dug a pony<br>Well you can syndicate any boat you row<br>Yeah you can syndicate any boat you row<br>I told you so, all I want is you<br>Everything has got to be just like you want it to<br>Because..."
Dig It,4,"Like a rolling stone<br>Like a rolling stone<br>Ah like a rolling stone<br>Like the FBI and the CIA<br>And the BBC, BB King<br>And Doris Day<br>Matt Busby<br>Dig it, dig it, dig it<br>Dig it, dig it, dig it, dig it, dig it, dig it, dig it, dig it"
Dizzy Miss Lizzy,4,"You make me dizzy, Miss Lizzy<br>The way you rock and roll<br>You make me dizzy, Miss Lizzy<br>When we do the stroll<br>Come on, Miss Lizzy<br>Love me before I grow too old<br><br>Come on, give me fever<br>Put your little hand in mine<br>You make me dizzy, dizzy Lizzy<br>Oh girl, you look so fine<br>Just a-rocking and a-rolling<br>Girl I said I wish you were mine<br><br>You make me dizzy, Miss Lizzy<br>When you call my name<br>Oooooh baby<br>Say you're driving me insane<br>C'mon, c'mon, c'mon, c'mon baby<br>I want to be your lover man<br><br>Run and tell your mama<br>I want you to be my bride<br>Run and tell your brother<br>Baby, don't run and hide<br>You make me dizzy, Miss Lizzy<br>Girl I want to marry you<br><br>Come on, give me fever<br>Put your little hand in mine, girl<br>You make me dizzy, dizzy Lizzy<br>Girl, you look so fine<br>You're just a-rocking and a-rolling<br>Oh I said I wish you were mine"
Do You Want To Know A Secret?,4,"You'll never know how much I really love you<br>You'll never know how much I really care<br><br>Listen<br>Do you want to know a secret<br>Do you promise not to tell, whoa oh, oh<br><br>Closer<br>Let me whisper in your ear<br>Say the words you long to hear<br>I'm in love with you<br><br>Listen<br>Do you want to know a secret<br>Do you promise not to tell, whoa oh, oh<br><br>Closer<br>Let me whisper in your ear<br>Say the words you long to hear<br>I'm in love with you<br><br>I've known the secret for a week or two<br>Nobody knows, just we two<br><br>Listen<br>Do you want to know a secret<br>Do you promise not to tell, whoa oh, oh<br><br>Closer<br>Let me whisper in your ear<br>Say the words you long to hear<br>I'm in love with you"
Doctor Robert,4,"Ring my friend, I said you'd call Doctor Robert<br>Day or night he'll be there any time at all, Doctor Robert<br>Doctor Robert, you're a new and better man<br>He helps you to understand<br>He does everything he can, Doctor Robert<br><br>If you're down he'll pick you up, Doctor Robert<br>Take a drink from his special cup, Doctor Robert<br>Doctor Robert, he's a man you must believe<br>Helping anyone in need<br>No one can succeed like Doctor Robert<br><br>Well, well, well, you're feeling fine<br>Well, well, well, he'll make you... Doctor Robert<br><br>My friend works for the national health, Doctor Robert<br>Don't pay money just to see yourself with Doctor Robert<br>Doctor Robert, you're a new and better man<br>He helps you to understand<br>He does everything he can, Doctor Robert<br><br>Well, well, well, you're feeling fine<br>Well, well, well, he'll make you... Doctor Robert<br><br>Ring my friend, I said you'd call Doctor Robert<br>Ring my friend, I said you'd call Doctor Robert<br>Doctor Robert"
Don't Bother Me,4,Since she's been gone<br>I want no one<br>To talk to me<br>It's not the same<br>But I'm to blame<br>It's plain to see<br><br>So go away and leave me alone<br>Don't bother me<br><br>I can't believe<br>That she would leave<br>Me on my own<br>It's just not right<br>Where every night<br>I'm all alone<br><br>I've got no time for you right now<br>Don't bother me<br><br>I know I'll never be the same<br>If I don't get her back again<br>Because I know she'll always be<br>The only girl for me<br><br>But till she's here<br>Please don't come near<br>just stay away<br>I'll let you know<br>When she's come home<br>Until that day<br><br>Don't come around leave me alone<br>Don't bother me<br><br>I've got no time for you right now<br>Don't bother me<br><br>I know I'll never be the same<br>If I don't get her back again<br>Because I know she'll always be<br>The only girl for me<br><br>But till she's here<br>Please don't come near<br>Just stay away<br>I'll let you know<br>When she's come home<br>Until that day<br><br>Don't come around leave me alone<br>Don't bother me<br>Don't bother me<br>Don't bother me
Don't Let Me Down,2,"Don't let me down, don't let me down<br>Don't let me down, don't let me down<br><br>Nobody ever loved me like she does<br>Oh, she does, yes, she does<br>And if somebody loved me like she do me<br>Oh, she do me, yes, she does<br><br>Don't let me down, don't let me down<br>Don't let me down, don't let me down<br><br>I'm in love for the first time<br>Don't you know it's gonna last<br>It's a love that lasts forever<br>It's a love that has no past (Seeking past)<br><br>Don't let me down, don't let me down<br>Don't let me down, don't let me down<br><br>And from the first time that she really done me<br>Oh, she done me, she done me good<br>I guess nobody ever really done me<br>Oh, she done me, she done me good<br><br>Don't let me down, hey don't let me down<br>Heeeee, don't let me down<br><br>Don't let me down<br>Don't let me down, don't let me let down<br>Can you dig it? Don't let me down"
Don't Pass Me By,4,"I listen for your footsteps<br>Coming up the drive<br>Listen for your footsteps<br>But they don't arrive<br>Waiting for your knock, dear<br>On my old front door<br>I don't hear it<br>Does it mean you don't love me any more?<br><br>I hear the clock are ticking<br>On the mantel shelf<br>See the hands are moving<br>But I'm by myself<br>I wonder where you are tonight<br>And why I'm by myself<br>I don't see you<br>Does it mean you don't love me any more?<br><br>Don't pass me by, don't make me cry, don't make me blue<br>Cause you know darling I love only you<br>You'll never know it hurt me so<br>How I hate to see you go<br>Don't pass me by, don't make me cry<br><br>I'm sorry that I doubted you<br>I was so unfair<br>You were in a car crash<br>And you lost your hair<br>You said that you would be late<br>About an hour or two<br>I said that's alright I'm waiting here<br>Just waiting to hear from you<br><br>Don't pass me by, don't make me cry, don't make me blue<br>Cause you know darling I love only you<br>You'll never know it hurt me so<br>How I hate to see you go<br>Don't pass me by, don't make me cry"
Drive My Car,2,"Asked a girl what she wanted to be<br>She said baby, ""Can't you see<br>I wanna be famous, a star of the screen<br>But you can do something in between""<br><br>Baby you can drive my car<br>Yes I'm gonna be a star<br>Baby you can drive my car<br>And maybe I'll love you<br><br>I told the girl that my prospects were good<br>She said baby, ""It's understood<br>Working for peanuts is all very fine<br>But I can show you a better time""<br><br>Baby you can drive my car<br>Yes I'm gonna be a star<br>Baby you can drive my car<br>And maybe I'll love you<br>Beep beep mm, beep beep yeah<br><br>Baby you can drive my car<br>Yes I'm gonna be a star<br>Baby you can drive my car<br>And maybe I'll love you<br><br>I told that girl I can start right away<br>And she said, ""Listen baby I've got something to say<br>I got no car and it's breaking my heart<br>But I've found a driver and that's a start""<br><br>Baby you can drive my car<br>Yes I'm gonna be a star<br>Baby you can drive my car<br>And maybe I'll love you<br>Beep beep mm beep beep yeah<br>Beep beep mm beep beep yeah<br>Beep beep mm beep beep yeah<br>Beep beep mm beep beep yeah (fade out)"
Eight Days A Week,1,"Ooh, I need your love, babe<br>Guess you know it's true<br>Hope you need my love, babe<br>Just like I need you<br><br>Hold me, love me, hold me, love me<br>Ain't got nothing but love, babe<br>Eight days a week.<br><br>Love you every day, girl<br>Always on my mind<br>One thing I can say, girl<br>Love you all the time<br><br>Hold me, love me, hold me, love me<br>Ain't got nothing but love, girl<br>Eight days a week.<br><br>Eight days a week<br>I love you<br>Eight days a week<br>Is not enough to show I care<br><br>Ooh, I need your love, babe<br>Guess you know it's true<br>Hope you need my love, babe<br>Just like I need you<br><br>Hold me, love me, hold me, love me<br>Ain't got nothing but love, babe<br>Eight days a week<br><br>Eight days a week<br>I love you<br>Eight days a week<br>Is not enough to show I care<br><br>Love you every day, girl<br>Always on my mind<br>One thing I can say, girl<br>Love you all the time<br><br>Hold me, love me, hold me, love me<br>Ain't got nothing but love, babe<br>Eight days a week<br>Eight days a week<br>Eight days a week"
Eleanor Rigby,1,"Ah, look at all the lonely people<br>Ah, look at all the lonely people<br><br>Eleanor Rigby picks up the rice in the church where a wedding has been<br>Lives in a dream<br>Waits at the window, wearing the face that she keeps in a jar by the door<br>Who is it for?<br><br>All the lonely people<br>Where do they all come from?<br>All the lonely people<br>Where do they all belong?<br><br>Father McKenzie writing the words of a sermon that no one will hear<br>No one comes near<br>Look at him working, darning his socks in the night when there's nobody there<br>What does he care?<br><br>All the lonely people<br>Where do they all come from?<br>All the lonely people<br>Where do they all belong?<br><br>Ah, look at all the lonely people<br>Ah, look at all the lonely people<br><br>Eleanor Rigby died in the church and was buried along with her name<br>Nobody came<br>Father McKenzie wiping the dirt from his hands as he walks from the grave<br>No one was saved<br><br>All the lonely people<br>(Ah, look at all the lonely people)<br>Where do they all come from?<br>All the lonely people<br>(Ah, look at all the lonely people)<br>Where do they all belong?"
